title,price,rating,link
"Baby Jogger City Select 2 Single-to-Double Modular Stroller, Eco Collection, Harbor & Tencel Grey",$695.99,4.4 out of 5 stars,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/RIfWWsuppDukAsfYnadSo6YAAAGHfRzIGwEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICBpMpsL/https://www.amazon.com/dp/B094P1912M?pd_rd_i=B094P1912M&pf_rd_p=b000e0a0-9e93-480f-bf78-a83c8136dfcb&pf_rd_r=BS58C3SDMZQMN5VVYMBG&pd_rd_wg=QRv14&pd_rd_w=hkMT6&pd_rd_r=640395d2-a9d8-431e-90b1-67597f584344
"Baby Jogger City Select 2 Single-to-Double Modular Stroller, Eco Collection, Harbor & Tencel Grey",$695.99,4.4 out of 5 stars,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/RIfWWsuppDukAsfYnadSo6YAAAGHfRzIGwEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICBpMpsL/https://www.amazon.com/dp/B094P1912M?pd_rd_i=B094P1912M&pf_rd_p=b000e0a0-9e93-480f-bf78-a83c8136dfcb&pf_rd_r=BS58C3SDMZQMN5VVYMBG&pd_rd_wg=QRv14&pd_rd_w=hkMT6&pd_rd_r=640395d2-a9d8-431e-90b1-67597f584344
Thule Urban Glide 2 Jogging Stroller,$649.95,4.6 out of 5 stars,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/RMg-k6vPD-CsgsNtMagrcIcAAAGHfRzIIQEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCRDnjN/https://www.amazon.com/dp/B078BRSJPW?pd_rd_i=B078BRSJPW&pf_rd_p=c9fa8100-7286-410a-991c-1fc5f10da1d5&pf_rd_r=BS58C3SDMZQMN5VVYMBG&pd_rd_wg=igCSm&pd_rd_w=UjQLF&pd_rd_r=0e0bbf14-6967-42ce-b883-f106c0106dac
Thule Urban Glide 2 Jogging Stroller,$649.95,4.6 out of 5 stars,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/RMg-k6vPD-CsgsNtMagrcIcAAAGHfRzIIQEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCRDnjN/https://www.amazon.com/dp/B078BRSJPW?pd_rd_i=B078BRSJPW&pf_rd_p=c9fa8100-7286-410a-991c-1fc5f10da1d5&pf_rd_r=BS58C3SDMZQMN5VVYMBG&pd_rd_wg=igCSm&pd_rd_w=UjQLF&pd_rd_r=0e0bbf14-6967-42ce-b883-f106c0106dac
